status,Accept.,I..low.state.,I..high...low.,S.N,Nb.d,tau_on.median..s.,tau_off.median..s.,tau_on.max..s.,tau_off.max..s.,tau_on_CV,tau_off_CV
Methylated,N,-3.282002933,403.8039864,1.829955608,4,136.6,109.6,212.8,182.8,0.78889512,0.68117117
Methylated,N,4.873282607,371.2735885,1.952141684,8,6.6,60.8,303.6,122,1.88346859,0.814884721
Methylated,Y,16.91393803,231.1612559,1.831308157,12,3,70.8,39.2,190.8,1.405023325,0.893937912
Methylated,N,105.6787595,305.0687815,1.647615701,6,61.6,80.6,86,240,0.308927636,0.992823872
Methylated,Y,16.60085806,346.8146154,1.862446435,10,6.8,75.4,41.2,176.4,1.211677872,0.841915529
Methylated,N,20.18084292,529.3508133,2.827967061,8,40.6,36.4,166.4,237.6,1.188940704,1.369288386
Methylated,N,-64.23452134,NA,NA,0,NA,600,NA,600,NA,0
Methylated,N,90.80518065,409.1040242,2.705023924,10,7.2,22,190,262.8,1.731288443,1.633807066
Methylated,N,-48.11603825,236.7709715,2.545409827,4,38.2,94.8,74.8,389.2,1.354979486,1.076839509
Methylated,Y,56.31068305,252.8250072,2.194601507,22,3.2,37.6,38.4,137.6,1.412916876,0.880469629
Methylated,N,77.07843241,251.9711506,2.559598142,2,91.6,254.2,91.6,331.2,0,0.428380977
Methylated,N,73.46152032,236.9149064,1.871713669,8,17.2,74,72,216.4,1.263759938,0.793446603
Methylated,N,-15.61479066,313.6583666,3.005568328,8,1.8,98,64.4,157.6,1.844680894,0.305139591
Methylated,Y,65.38249873,353.8462643,2.512037596,18,19.2,16.4,65.2,151.2,0.951008125,1.319034105
Methylated,N,121.0106948,384.0154618,2.05998062,22,8.8,7,143.6,96,1.567692204,1.336297374
Methylated,N,-88.03504211,157.9253056,1.293356668,8,2.8,124.8,8,258,0.771131964,0.842586454
Methylated,Y,43.89167912,565.2541325,2.60019252,12,30.4,39.2,154.8,138.4,1.192903735,0.997551823
Methylated,Y,1.660150389,262.6303331,2.518655534,13,31.6,43.2,46,175.6,0.729085474,0.992954604
Methylated,N,76.40616394,509.5563714,2.189764979,6,92.4,113.2,99.2,149.6,0.74379122,0.56107695
Methylated,Y,2.398620142,214.9414508,2.709472348,14,20,32.4,62,157.2,0.699007431,1.120783869
Methylated,N,83.78675675,341.4296654,2.149652918,4,107,123.2,125.6,160,0.245835255,0.225304612
Methylated,Y,43.30614722,250.1274715,2.570543299,24,6.4,12.4,93.6,142.4,1.59131222,1.384667362
Methylated,N,43.94497085,266.9037276,1.621061415,12,1,56.8,106.4,130,1.811796477,0.606380069
Methylated,Y,24.60915051,554.9215128,2.374978797,8,68.4,11.6,131.6,176.4,0.623872166,1.289168599
Methylated,N,-82.75602083,NA,NA,0,NA,600,NA,600,NA,0
Methylated,N,27.73860344,397.0051002,2.124343309,6,62.8,86.4,132,224,1.011720402,0.991598698
